;lat;lon;ciudad;zona;localidad;barrio;habitaciones;baños;area;area_privada;precio;moneda;tipo_propiedad;tipo_operacion
1053;4.691;-74.042;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;1.0;2.0;64.0;64.0;420000000.0;COP;Apartamento;Venta
1054;4.765;-74.045;Bogotá D.C;Zona Noroccidental;Suba;Mirandela ;2.0;2.0;60.0;65.0;250000000.0;COP;Apartamento;Venta
1055;4.728;-74.046;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;50.0;50.0;295000000.0;COP;Apartamento;Venta
1056;4.696000000000001;-74.03399999999999;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;2.0;105.0;105.0;669000000.0;COP;Apartamento;Venta
1057;4.709;-74.029;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;3.0;3.0;94.0;94.0;820000000.0;COP;Apartamento;Venta
1058;4.725;-74.078;Bogotá D.C;Zona Noroccidental;Suba;Colinas De Suba;3.0;5.0;273.0;273.0;2300000000.0;COP;Apartamento;Venta
1059;4.718999999999999;-74.035;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;78.0;78.0;410000000.0;COP;Apartamento;Venta
1060;4.66;-74.048;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;3.0;213.0;217.0;1300000000.0;COP;Apartamento;Venta
1061;4.712;-74.079;Bogotá D.C;Zona Noroccidental;Suba;Niza;4.0;3.0;900.0;500.0;2000000000.0;COP;Casa;Venta
1062;4.692;-74.041;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;4.0;317.0;257.0;1900000000.0;COP;Casa;Venta
1063;4.663;-74.048;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;4.0;4.0;324.0;303.0;2150000000.0;COP;Apartamento;Venta
1064;4.656000000000001;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;4.0;4.0;333.0;301.0;2500000000.0;COP;Apartamento;Venta
